indexInPlaylistFile|song_id|song_name|artist_name|popularity|acousticness|energy|liveness|tempo|speechiness|instrumentalness|time_signature|danceability|key|duration_ms|loudness|valence|mode|playlist|old_playlist|count
20|7xT0GApaXGNVMUdRx2taZv|Hide Away|Daya|10|0.222|0.826|0.0719|94.997|0.0854|2.29E-06|4|0.884|11|192381|-3.672|0.466|0|sad|breakup|1
21|0HMjXBAZmSYOTTi33WpMso|History|One Direction|74|0.0352|0.699|0.064|86.704|0.0493|0|4|0.655|11|187427|-4.421|0.802|1|sad|breakup|3
22|1XGmzt0PVuFgQYYnV2It7A|Payphone|Maroon 5|77|0.0188|0.752|0.287|110.015|0.0414|0|4|0.743|4|231173|-4.813|0.545|1|sad|breakup|1
23|44aN5xKL3kGHvQ5bXVk6B8|Ghost Town|Adam Lambert|67|0.186|0.736|0.174|119.955|0.046|1.92E-05|4|0.703|4|208330|-5.709|0.274|0|sad|breakup|2
24|47UDiZQHAkVtMNhx6EjyOn|Let Her Go|Passenger|8|0.365|0.545|0.0963|74.897|0.0688|0|4|0.479|7|252733|-7.346|0.244|1|sad|breakup|1
25|5VVwwfK6Cp9IydkhKfJUEq|You Give Love A Bad Name|Bon Jovi|26|0.0678|0.96|0.342|122.761|0.0521|2.34E-06|4|0.54|0|222707|-2.971|0.802|0|sad|breakup|1
26|1wAXODAAL6hY64ZdhrnjBO|Drive By|Train|66|0.000983|0.849|0.0864|122.033|0.0317|1.51E-05|4|0.759|1|196627|-3.198|0.73|0|sad|breakup|1
27|1MDoll6jK4rrk2BcFRP5i7|Hello|Adele|69|0.329|0.431|0.0854|157.98|0.0342|0|4|0.471|5|295502|-6.129|0.289|0|sad|breakup|3
28|1Pw5C4N6Fn5E4mGCxmbbVa|Say You Won't Let Go|James Arthur|81|0.693|0.564|0.0863|99.269|0.0523|0|4|0.4|10|211240|-7.444|0.483|1|sad|breakup|3
29|3fo6DYGktjENCiagUeU9yH|Pity Party|Melanie Martinez|70|0.058|0.73|0.151|136.05|0.0364|7.32E-06|4|0.716|6|204086|-4.126|0.339|0|sad|breakup|1
30|0J7385nYIZSg34lfJnFjT9|Battle Scars|Guy Sebastian|58|0.186|0.863|0.097|83.993|0.206|0|4|0.61|5|250080|-2.632|0.508|0|sad|breakup|1
31|1oHCgpheYhmhQbhCmbhpWn|Mercy|Shawn Mendes|5|0.131|0.686|0.11|147.929|0.177|0|4|0.409|11|208733|-4.893|0.354|0|sad|breakup|1
32|0nJW01T7XtvILxQgC5J7Wh|When I Was Your Man|Bruno Mars|83|0.932|0.28|0.088|72.795|0.0434|0|4|0.612|0|213827|-8.648|0.387|1|sad|breakup|7
33|6Vc5wAMmXdKIAM7WUoEb7N|Say Something|A Great Big World|80|0.857|0.147|0.0913|141.284|0.0355|2.89E-06|3|0.407|2|229400|-8.822|0.0765|1|sad|breakup|6
34|4RL77hMWUq35NYnPLXBpih|Skinny Love|Birdy|78|0.952|0.29|0.118|166.467|0.051|0.00106|4|0.379|4|201080|-8.485|0.169|1|sad|breakup|4
35|13HVjjWUZFaWilh2QUJKsP|Let It Go|James Bay|76|0.818|0.311|0.107|147.464|0.0288|1.65E-05|4|0.546|1|260533|-10.396|0.246|1|sad|breakup|2
36|1mKXFLRA179hdOWQBwUk9e|Just Give Me a Reason|P!nk|77|0.346|0.547|0.132|95.002|0.0489|0.000302|4|0.778|2|242733|-7.273|0.441|1|sad|breakup|4
37|0HZhYMZOcUzZKSFwPOti6m|Jar of Hearts|Christina Perri|75|0.726|0.348|0.12|74.541|0.0316|0|4|0.349|3|246587|-6.142|0.0886|1|sad|breakup|2
38|3U4isOIWM3VvDubwSI3y7a|All of Me|John Legend|86|0.922|0.264|0.132|119.93|0.0322|0|4|0.422|8|269560|-7.064|0.331|1|sad|breakup|10
39|53QF56cjZA9RTuuMZDrSA6|I Won't Give Up|Jason Mraz|71|0.694|0.303|0.115|136.703|0.0398|0|3|0.585|4|240166|-10.058|0.142|1|sad|breakup|2
40|3f3omU8n47Mqyab5nCaGyT|Because of You|Kelly Clarkson|75|0.254|0.584|0.123|140.039|0.0314|0|4|0.583|5|219493|-5.362|0.136|0|sad|breakup|5
41|0M3HkE321xpCbCYqVKzr1q|It Will Rain|Bruno Mars|69|0.337|0.835|0.082|150.017|0.0486|0|4|0.576|2|257720|-6.826|0.476|1|sad|breakup|2
42|02WacdrRpm4zlP8H7X6bnQ|Dancing On My Own|Calum Scott|30|0.851|0.174|0.0855|112.175|0.0332|1.92E-05|4|0.608|1|260004|-8.796|0.193|1|sad|breakup|3
43|7ywzEdEuVG1lsjsRCGJfLy|When I Look At You|Miley Cyrus|63|0.135|0.569|0.109|137.87|0.0276|0|3|0.465|6|248587|-4.934|0.198|1|sad|breakup|1
44|0fioLzGM8ngbD1w6fMmm45|I'm Not The Only One|Sam Smith|30|0.554|0.496|0.0772|80.994|0.0453|2.65E-05|4|0.453|5|239317|-5.785|0.501|1|sad|breakup|2
45|0DV0HApASjc0VfCyd8z0q4|All Of The Stars|Ed Sheeran|54|0.0102|0.562|0.198|150.066|0.0278|0.000278|4|0.436|11|234987|-6.106|0.24|1|sad|breakup|1
46|4rvtlpAeDuOn4baUJPCEhy|As Long As You Love Me|Justin Bieber|31|0.0679|0.871|0.353|139.841|0.109|0|4|0.579|0|229467|-3.385|0.601|0|sad|breakup|2
47|1MK9VSvdx48aGDAfL0y2Qq|Nothing Like Us - Bonus Track|Justin Bieber|56|0.986|0.161|0.16|82.138|0.0453|4.26E-05|4|0.424|0|199800|-14.376|0.544|1|sad|breakup|1
48|1NrJYpdAi7uosDRPmSYrsG|Apologize|OneRepublic|72|0.348|0.718|0.107|117.995|0.0368|0.000118|4|0.591|8|208107|-6.025|0.468|1|sad|breakup|2
49|5lvnGiTAH9BVlJLHc0DXZz|Just A Little Bit Of Your Heart|Ariana Grande|70|0.692|0.322|0.103|77.963|0.028|0|4|0.439|9|232587|-5.959|0.16|1|sad|breakup|2
50|3aBCzb2R7mZMCUS4q5kfJM|Warrior|Demi Lovato|22|0.849|0.405|0.111|88.339|0.0421|0|3|0.388|9|231173|-6.121|0.183|0|sad|breakup|2
51|6brl7bwOHmGFkNw3MBqssT|So Sick|Ne-Yo|80|0.273|0.592|0.202|94.933|0.262|0|4|0.699|6|207187|-8.298|0.589|1|sad|breakup|2
52|5aFSzu0b7ccAYjTkbTNTsQ|Losing You|Aquilo|51|0.647|0.439|0.0969|78.003|0.0397|0|4|0.409|0|205859|-8.693|0.173|0|sad|breakup|3
53|3JjnGLK8IxkNLvo8Lb3KOM|18|One Direction|70|0.22|0.582|0.119|124.038|0.0313|0|4|0.681|6|248360|-7.76|0.221|0|sad|breakup|3
54|7crplFzt7spG80NCbpmuCp|I Know What You Did Last Summer|Shawn Mendes|37|0.123|0.769|0.245|113.966|0.115|0|4|0.657|9|223827|-4.591|0.712|0|sad|breakup|1
55|3IUEZsFIQv3QbE5K15SbJu|Coat of Armour|George Ezra|58|0.721|0.333|0.133|79.05|0.0266|0.000104|4|0.388|7|237680|-10.782|0.231|1|sad|breakup|1
56|4AFwnrH5atiJoAd5xS5QtR|The Man Who Can't Be Moved|The Script|67|0.437|0.629|0.097|99.894|0.0279|0|4|0.605|10|241373|-5.051|0.308|1|sad|breakup|1
57|2CpH1L4CUR47RARB3PgY1l|You Don't Own Me|Grace|64|0.166|0.664|0.0575|186.394|0.102|1.31E-06|3|0.336|7|199315|-5.68|0.294|1|sad|breakup|1
58|6hdkw1wzhIRYPlYDUtCY5m|Love Me Now|John Legend|67|0.572|0.773|0.105|122.65|0.0949|0|4|0.416|8|210307|-3.784|0.716|1|sad|breakup|2
59|6RX5iL93VZ5fKmyvNXvF1r|Irreplaceable|Beyonc|78|0.0293|0.694|0.167|175.868|0.382|5.46E-06|4|0.447|7|227853|-4.637|0.509|0|sad|breakup|2
60|39QrBCmoq4jVVp0639PbCB|I Don't Wanna|Jane X|1|0.367|0.651|0.0949|181.905|0.0361|1.36E-05|4|0.594|8|213668|-5.253|0.593|1|sad|breakup|1
61|3yZQk5PC52CCmT4ZaTIKvv|This Is Gospel|Panic! At The Disco|77|0.00155|0.912|0.102|156.073|0.0707|1.2E-06|4|0.572|7|187187|-4.875|0.606|1|sad|breakup|1
62|1T7AiFL9ruKKwlONN35Vh0|A Little Too Much|Shawn Mendes|67|0.473|0.507|0.108|83.093|0.0304|0|4|0.553|11|187027|-6.24|0.57|1|sad|breakup|1
63|4yWCzA44dQyp0SoeM81bUb|Life Is Worth Living|Justin Bieber|66|0.915|0.301|0.111|75.922|0.0619|0|4|0.416|10|234787|-9.217|0.494|1|sad|breakup|1
64|7rWq6WfZNwilZgRvZUw6CQ|Try|Colbie Caillat|63|0.829|0.379|0.108|139.962|0.0286|0|4|0.611|1|224573|-9.703|0.572|1|sad|breakup|1
65|65lIGCfW59BxcEJnnIOCq3|Who You Are|Jessie J|60|0.0233|0.667|0.261|136.043|0.0336|7.3E-06|4|0.534|9|230773|-3.91|0.215|1|sad|breakup|1
66|1dEy9Pl81QopSxNsPxXQxv|Stay|Rihanna|71|0.949|0.324|0.114|111.927|0.0271|5.42E-05|4|0.619|9|240707|-10.146|0.0965|0|sad|breakup|1
67|4IqcDJPzDL8Hq8KwAX4jUE|human|Christina Perri|66|0.132|0.489|0.114|143.808|0.0368|0.000643|4|0.439|8|250707|-6.286|0.253|1|sad|breakup|2
68|0IKK48xF4eEdfofyaeKWWO|PILLOWTALK|ZAYN|69|0.104|0.702|0.089|124.909|0.0496|0|4|0.588|11|203686|-4.271|0.429|1|sad|breakup|2
69|6wZ8kvKP9d1MKlNFTMZrBK|Shout Out to My Ex|Little Mix|20|0.0316|0.739|0.119|126.002|0.0952|5.95E-06|4|0.774|0|246240|-4.022|0.823|1|sad|breakup|2
70|4L2K7JKseFCBoHMZEAszW0|Jealous|Labrinth|80|0.873|0.155|0.107|128.532|0.046|0|3|0.435|1|287693|-8.948|0.0935|1|sad|breakup|5
71|4oa14QBfWRDfJy2agySy0L|Gravity|Sara Bareilles|70|0.834|0.275|0.146|168.653|0.0356|0|4|0.27|0|232760|-10.357|0.232|1|sad|breakup|2
72|5ASYKV7L20Xz5Cub2t4FeA|Suicide|James Arthur|64|0.58|0.595|0.152|129.307|0.0491|0|3|0.434|7|251013|-5.312|0.323|1|sad|breakup|2
73|2BrzlUj1u1CtvaJDGIKpsP|Make Me (Cry)|Noah Cyrus|73|0.592|0.471|0.0733|152.881|0.0577|0.00146|4|0.588|0|242081|-7.287|0.209|1|sad|breakup|1
74|0ZUo4YjG4saFnEJhdWp9Bt|Before He Cheats|Carrie Underwood|73|0.271|0.749|0.119|147.905|0.0405|0|4|0.519|6|199947|-3.318|0.29|0|sad|breakup|3
75|2PwXOevGUSkU8qaYZjgLq2|All I Want|Kodaline|71|0.172|0.412|0.0843|86.26|0.0443|0.15|3|0.209|0|305747|-9.733|0.162|1|sad|breakup|1
76|1bb2jMLU78mIQJ2r1GB7Rs|You & Me|Marc E. Bassy|4|0.0371|0.645|0.186|85.022|0.178|0|4|0.692|1|218480|-8.375|0.681|1|sad|breakup|1
77|5jx8tCxiO0uIbo2uNia23K|The One That Got Away - Acoustic|Katy Perry|70|0.697|0.434|0.0919|123.942|0.0396|0|4|0.714|4|259040|-11.542|0.352|1|sad|breakup|2
78|3ioJ2eGWcONEvna37MpsiE|Stone Cold|Demi Lovato|38|0.5|0.462|0.0975|139.861|0.0515|0|3|0.41|8|191308|-7.534|0.354|1|sad|breakup|3
79|5eoEwktJ1CQrOBD8R6Dbcq|Not In That Way|Sam Smith|19|0.94|0.15|0.116|144.268|0.0322|0|3|0.392|2|172453|-12.494|0.296|1|sad|breakup|1
80|442j8VxaB60dWf9cBFuX5w|Almost Is Never Enough|Ariana Grande|70|0.824|0.327|0.101|81.329|0.0411|0|4|0.323|2|327773|-7.494|0.335|1|sad|breakup|2
81|2RttW7RAu5nOAfq6YFvApB|Happier|Ed Sheeran|88|0.536|0.385|0.135|89.792|0.0288|0|4|0.522|0|207520|-7.355|0.236|1|sad|breakup|6
82|51ChrwmUPDJvedPQnIU8Ls|Dive|Ed Sheeran|83|0.355|0.386|0.0953|134.943|0.0399|0|3|0.761|4|238440|-6.158|0.526|1|sad|breakup|4
83|71LQeNIJcnZeOSYgz4reoF|How Am I Supposed to Live Without You|Michael Bolton|52|0.139|0.532|0.0952|140.478|0.0295|0|4|0.532|10|254373|-9.787|0.18|1|sad|breakup|2
84|0mqTcM8kuu2IYPotMt7AzS|Make You Feel My Love|Adele|79|0.907|0.173|0.105|76.97|0.0292|0.000401|1|0.552|10|212040|-10.576|0.0854|1|sad|breakup|7
85|2SMf3oF07WpSE55fCuEvSG|Close To You|Rihanna|22|0.895|0.17|0.139|80.098|0.0337|0|4|0.494|10|223227|-11.368|0.145|1|sad|breakup|3
86|4yTqjWF2EoFJM5BbSCe4YW|Safe & Sound - from The Hunger Games Soundtrack|Taylor Swift|57|0.883|0.3|0.0698|144.317|0.028|1.04E-05|4|0.472|7|240067|-10.807|0.289|1|sad|breakup|2
87|6z5Yh7kOKeLjqIsNdokIpU|A Thousand Years|Christina Perri|76|0.309|0.407|0.11|139.028|0.0267|0.000961|3|0.421|10|285120|-7.445|0.161|1|sad|breakup|5
88|6bsXYGTHsk49AL8Ez188mi|My Everything|Ariana Grande|28|0.88|0.265|0.131|61.975|0.0297|0|4|0.54|11|168520|-5.307|0.423|1|sad|breakup|2
89|7CFQrZR4WeKEg4vweqp8Gv|How Long Will I Love You - Bonus Track|Ellie Goulding|71|0.295|0.304|0.118|126.078|0.0318|0.000622|5|0.512|0|154435|-9.19|0.172|1|sad|breakup|2
90|0uIGzK6ukV0A5yWoCxPkRL|California King Bed|Rihanna|68|0.23|0.615|0.117|169.784|0.0369|0|4|0.437|7|251613|-3.813|0.345|1|sad|breakup|2
91|13P8deLk5rCTPLLR38AJI6|That Should Be Me|Justin Bieber|22|0.21|0.607|0.169|139.951|0.0319|0|4|0.547|8|232733|-5.737|0.23|1|sad|breakup|1
92|0Qat527YoBrS530u1dygjz|Leave Your Lover|Sam Smith|28|0.947|0.256|0.104|141.634|0.038|3.72E-06|4|0.445|4|188377|-8.726|0.396|1|sad|breakup|2
93|1LM6t24SjQr2bJHqeGIR4U|Still Feel Like Your Man|John Mayer|68|0.547|0.6|0.132|106.023|0.063|0.00113|4|0.858|2|234920|-6.677|0.513|1|sad|breakup|1
94|0X1FYVkgy7Tfw79cY3C7lx|Turning Tables|Adele|69|0.95|0.446|0.132|155.542|0.0281|1.32E-05|4|0.361|0|250000|-6.044|0.212|0|sad|breakup|2
95|0YywjDvFudcaHG74NuWISy|People Help The People|Birdy|67|0.778|0.308|0.092|73.254|0.0296|1.46E-05|3|0.407|10|256236|-9.001|0.153|0|sad|breakup|1
96|1SJtlNRJDeYHioymcvsqev|Crying in the Club|Camila Cabello|78|0.334|0.617|0.163|85.227|0.383|0|4|0.334|6|216391|-5.834|0.603|0|sad|breakup|4
97|7cB6VKnkZnUOwOekecdg7j|Middle Of The Night|The Vamps|0|0.0041|0.726|0.0743|130.113|0.0581|0|4|0.596|11|175507|-4.68|0.433|0|sad|breakup|1
98|3oEHQmhvFLiE7ZYES0ulzv|"My Heart Will Go On - Love Theme from ""Titanic"""|Cline Dion|73|0.732|0.276|0.117|99.195|0.0312|5.33E-06|1|0.428|4|280000|-11.729|0.0382|1|sad|breakup|5
99|3xrn9i8zhNZsTtcoWgQEAd|Since U Been Gone|Kelly Clarkson|75|0.00165|0.741|0.114|131|0.0334|0.0303|4|0.662|0|188960|-5.406|0.404|1|sad|breakup|2
100|0Zx8khUcEfCFK2AEoIhC92|Don't Leave|Snakehips|73|0.222|0.703|0.256|122.381|0.0753|0|4|0.657|1|214693|-3.402|0.338|1|sad|breakup|1
101|0YHUITU3w6ws1v8ehT264g|Shout Out to My Ex|Little Mix|26|0.0316|0.739|0.119|126.002|0.0952|5.95E-06|4|0.774|0|246240|-4.022|0.823|1|sad|breakup|1
102|1i2zpmV4dQvngHZx6u7Pe6|Best Thing I Never Had|Beyonc|2|0.143|0.649|0.0894|99.099|0.0324|1.57E-05|4|0.545|6|253747|-4.062|0.297|1|sad|breakup|1
103|557un1HgwYMuqfWGSTmnxw|Single Ladies (Put a Ring on It)|Beyonc|64|0.0383|0.584|0.192|193.438|0.296|0|4|0.426|1|192587|-5.293|0.272|1|sad|breakup|1
104|7zP67rufQgoODWFI45jntD|Broken-Hearted Girl|Beyonc|59|0.495|0.425|0.254|83.413|0.0325|0|4|0.453|5|278400|-7.198|0.144|1|sad|breakup|2
105|1gTT2Y987ndPot2Oygq6hn|Honesty|Beyonc|37|0.428|0.442|0.109|135.99|0.0309|0|4|0.565|2|224387|-7.738|0.0717|1|sad|breakup|1
106|6LteLVcW0oWLjuW6nePyWb|The Fault in Our Stars|Troye Sivan|66|0.613|0.179|0.145|74.85|0.109|2.84E-05|4|0.481|3|187195|-21.424|0.405|1|sad|breakup|1
107|1qHaLcG3LOeh6ZB8vii5ZZ|Just Give Me a Reason|P!nk|56|0.346|0.547|0.132|95.002|0.0489|0.000302|4|0.778|2|242733|-7.273|0.441|1|sad|breakup|1
108|31er9IGsfFbwqy1pH4aiTP|I Have Nothing|Whitney Houston|73|0.576|0.401|0.164|152.974|0.0364|0|3|0.54|0|289160|-10.499|0.24|1|sad|breakup|1
109|1HNkqx9Ahdgi1Ixy2xkKkL|Photograph|Ed Sheeran|86|0.607|0.379|0.0986|107.989|0.0476|0.000464|4|0.614|4|258987|-10.48|0.201|1|sad|breakup|7
110|3Q3myFA7q4Op95DOpHplaY|do re mi|Blackbear|81|0.00419|0.599|0.126|110.977|0.0465|1.02E-05|3|0.742|8|212027|-6.256|0.154|1|sad|breakup|1
111|3AFfyUXTfj12PgrOkZiiJo|Treat You Better|Shawn Mendes|45|0.13|0.819|0.111|110.645|0.198|0|3|0.748|10|187973|-4.032|0.792|0|sad|breakup|1
112|0Zxswuv5xzIhxDnsKJLq82|Mercy|Shawn Mendes|44|0.118|0.674|0.111|148.127|0.0818|0|4|0.561|4|208733|-4.882|0.383|0|sad|breakup|1
113|5iKYddTv4wFIdNGVlc5VRL|Three Empty Words|Shawn Mendes|30|0.798|0.424|0.149|95.793|0.0297|0|4|0.613|0|199013|-9.757|0.508|1|sad|breakup|1
114|1839RWzPRZCVgvamu4sHSN|All My Love (feat. Conor Maynard)|Cash Cash|70|0.148|0.871|0.0739|134.956|0.0891|0|4|0.59|11|191331|-3.353|0.304|0|sad|breakup|1
115|4EuisMmax1sVSq3jlgoc9j|I Don't Want to Love You|Taylor Mathews|42|0.481|0.389|0.133|126.179|0.0377|0|4|0.625|11|257405|-10.135|0.285|1|sad|breakup|1
116|1sl5tSzfK1JrcQIcA8rYDy|I Miss You|Grey|16|0.368|0.764|0.12|102.01|0.0939|0|4|0.65|4|192320|-5.219|0.704|1|sad|breakup|1
117|0cj2joJcY6b4XSRfj2eZOl|When We Were Young|Adele|76|0.303|0.595|0.095|144.464|0.0489|0|4|0.377|3|290900|-5.936|0.264|1|sad|breakup|4
118|6FZGGS3n6LDwEf6UfsQasQ|Skyscraper|Demi Lovato|24|0.16|0.614|0.13|103.933|0.0292|0|4|0.575|7|221293|-3.252|0.198|1|sad|breakup|2
119|1yjY7rpaAQvKwpdUliHx0d|Still Into You|Paramore|74|0.0098|0.923|0.0561|136.01|0.044|0|4|0.602|5|216013|-3.763|0.765|1|sad|breakup|1
120|638fKB27P7UAmu3Aq0vEJ3|"Still Falling For You - From ""Bridget Jones's Baby"""|Ellie Goulding|34|0.547|0.531|0.102|96.058|0.0418|2.46E-06|4|0.512|1|240867|-8.03|0.19|1|sad|breakup|1
121|2NELtMgQ8HSdrGrYQPLnC3|Piece by Piece|Kelly Clarkson|62|0.000953|0.808|0.0918|106.029|0.0408|1.53E-06|4|0.59|1|257747|-6.728|0.601|1|sad|breakup|1
122|3PKw5zJjXpMbZ344t9LSe2|Someone|Kelly Clarkson|35|0.365|0.651|0.103|127.966|0.0424|0|4|0.578|8|219880|-6.924|0.0931|1|sad|breakup|1
123|06RvSvlEgjxOcKXjLaXM14|Tightrope|Kelly Clarkson|30|0.643|0.366|0.138|73.99|0.0264|0|4|0.449|9|212813|-8.381|0.249|0|sad|breakup|1
124|1louJpMmzEicAn7lzDalPW|No Promises (feat. Demi Lovato)|Cheat Codes|77|0.0575|0.667|0.106|112.956|0.134|0|4|0.741|10|223504|-5.445|0.595|1|sad|breakup|2
125|6JrOY3B8XchpB7gtQTWmoI|Silhouette|Aquilo|1|0.699|0.418|0.0393|132.037|0.0378|0|3|0.322|1|230417|-8.405|0.116|1|sad|breakup|1
126|7xpraKSakDJ6WWgjQEtvgT|Sad Song (feat. Elena Coats)|We The Kings|15|0.0843|0.559|0.0696|85.017|0.0253|0|4|0.512|1|226330|-5.498|0.193|1|sad|breakup|2
127|3SZLtkoHoECHHuOnNkNCuS|All Of The Stars|Ed Sheeran|71|0.0102|0.562|0.198|150.066|0.0278|0.000278|4|0.436|11|234987|-6.106|0.24|1|sad|breakup|4
128|11pfbduq7fbQxmXH03OKo7|Not In That Way|Sam Smith|18|0.936|0.146|0.129|70.359|0.0408|0|3|0.442|2|172453|-12.459|0.281|1|sad|breakup|2
129|3aOOdPuYGCRzrFEiTXABEd|Never Be Like You|Flume|57|0.446|0.59|0.14|119.878|0.0528|0|4|0.54|0|234910|-4.359|0.267|1|sad|breakup|1
130|0dIOvducp7ujHTqj66cQ3X|Amnesia|5 Seconds of Summer|68|0.0343|0.497|0.162|101.671|0.0303|0|4|0.594|2|237248|-5.26|0.101|1|sad|breakup|2
131|5ivF4eQBqJiVL5IAE9jRyl|I Won't Give Up|Jason Mraz|68|0.694|0.303|0.115|136.703|0.0398|0|3|0.585|4|240166|-10.058|0.142|1|sad|breakup|1
132|7ctRAoCbcpOusbm3w3E6mn|Chasing Cars|Snow Patrol|37|0.302|0.546|0.137|104.007|0.0251|1.13E-05|4|0.569|9|265667|-6.262|0.205|1|sad|breakup|2
133|3NdDpSvN911VPGivFlV5d0|"I Dont Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""|ZAYN|45|0.0631|0.451|0.325|117.973|0.0585|1.3E-05|4|0.735|0|245200|-8.374|0.0862|1|sad|breakup|2
134|5dB00dkUFlruwbxVmdOPSE|Dancing On My Own|Calum Scott|17|0.839|0.172|0.0793|112.655|0.0329|1.81E-05|4|0.686|1|260004|-8.722|0.197|1|sad|breakup|2
135|6w5vxmdkrvvJNGpmMF4aGk|ocean eyes|Billie Eilish|3|0.808|0.376|0.084|144.604|0.0361|0.0281|4|0.452|4|200560|-8.078|0.158|0|sad|breakup|1
136|0UJut9GNH4cnSTe7nA6gjq|watch|Billie Eilish|7|0.324|0.606|0.109|165.104|0.227|0.00315|4|0.459|0|177523|-9.102|0.368|1|sad|breakup|1
137|01i4V6aIhnOwALm0DEWr8Y|RIP|Olivia O'Brien|1|0.368|0.598|0.229|103.988|0.208|3.08E-06|4|0.538|5|206396|-5.263|0.456|0|sad|breakup|1
138|5D6AD0vOGRODB8EapagKlu|Trust Issues|Olivia O'Brien|19|0.101|0.36|0.174|93.047|0.0607|0|4|0.532|7|189867|-10.343|0.157|1|sad|breakup|2
139|5s5t0OFg9lIlBFaCI14K1i|She Will Be Loved|Maroon 5|47|0.0567|0.711|0.134|203.867|0.0405|0|4|0.524|0|257133|-5.494|0.539|0|sad|breakup|2
140|2z7dSOS87BhVTTGOopZhC5|I Was Made For Loving You|Tori Kelly|53|0.339|0.337|0.0992|145.105|0.0289|0|4|0.394|2|188947|-11.95|0.237|1|sad|breakup|4
141|2tJulUYLDKOg9XrtVkMgcJ|Grenade|Bruno Mars|75|0.146|0.558|0.118|110.443|0.0593|0|4|0.706|2|223253|-7.237|0.227|0|sad|breakup|2
